timestamp,pool_id,chosen_fork,v27_profitability_usd,v26_profitability_usd,rational_choice,ideology_override,opportunity_cost_usd,cumulative_cost_usd,reason
1770991811.0311518,foundryusa,v27,8017813.268419104,8903332.47475143,v26,True,885519.2063323259,885519.2063323259,Ideology: supporting v27 (loss 9.9% < tolerance 34.0%)
1770991811.0311518,luxor,v27,1174793.0188758369,1304541.8352741026,v26,True,129748.81639826577,129748.81639826577,Ideology: supporting v27 (loss 9.9% < tolerance 28.0%)
1770991811.0311518,ocean,v27,423402.56010245904,470164.82388051413,v26,True,46762.26377805509,46762.26377805509,Ideology: supporting v27 (loss 9.9% < tolerance 29.8%)
1770991811.0311518,antpool,v26,5739788.226741081,6373713.2814788,v26,False,0,0.0,Ideology and profit aligned
1770991811.0311518,viabtc,v26,3396165.6053288793,3771251.6507035606,v26,False,0,0.0,Ideology and profit aligned
1770991811.0311518,f2pool,v26,3354421.6909525804,3724897.3722928055,v26,False,0,0.0,Ideology and profit aligned
1770991811.0311518,marapool,v26,2459909.240031893,2731591.4063480576,v26,False,0,0.0,Ideology and profit aligned
1770991811.0311518,binancepool,v26,2993635.0024145693,3324263.966028424,v26,False,0,0.0,Rational profit maximization
1770991811.0311518,sbicrypto,v26,1362640.6335691817,1513136.0881224999,v26,False,0,0.0,Rational profit maximization
1770991811.0311518,braiinspool,v26,408494.0192537809,453609.72444810165,v26,False,0,0.0,Rational profit maximization
1770992411.765211,foundryusa,v27,8048964.488133794,8872638.395555181,v26,True,823673.9074213877,1709193.1137537137,Ideology: supporting v27 (loss 9.3% < tolerance 34.0%)
1770992411.765211,luxor,v27,1179357.3850222067,1300044.4506689254,v26,True,120687.06564671872,250435.8820449845,Ideology: supporting v27 (loss 9.3% < tolerance 28.0%)
1770992411.765211,ocean,v27,425047.58546485635,468543.93907357217,v26,True,43496.35360871581,90258.6173867709,Ideology: supporting v27 (loss 9.3% < tolerance 29.8%)
1770992411.765211,antpool,v26,5762088.746618651,6351740.019131172,v26,False,0,0.0,Ideology and profit aligned
1770992411.765211,viabtc,v26,3409360.562285009,3758250.3282028073,v26,False,0,0.0,Ideology and profit aligned
1770992411.765211,f2pool,v26,3367454.4623096017,3712055.8553363997,v26,False,0,0.0,Ideology and profit aligned
1770992411.765211,marapool,v26,2469466.6056937077,2722174.2939133593,v26,False,0,0.0,Ideology and profit aligned
1770992411.765211,binancepool,v26,3005266.0268078567,3312803.6255624397,v26,False,0,0.0,Rational profit maximization
1770992411.765211,sbicrypto,v26,1367934.8349115446,1507919.578567764,v26,False,0,0.0,Rational profit maximization
1770992411.765211,braiinspool,v26,410081.1211879248,452045.91304985486,v26,False,0,0.0,Rational profit maximization
